>> -W1,black
0.018  1472
0.0202442748092 1500
0.0242519083969 1550
0.0282595419847 1600
0.0322671755725 1650
0.0362748091603 1700
0.0431546961326 1750
0.056138121547 1800
0.0691215469613 1850
0.0821049723757 1900
0.086  1915
>> -W1,black
0.086   1915
0.0907647005412 1950
0.0982445784861 2000
0.106327219441 2050
0.114802408599 2100
0.123459931154 2150
0.132704924635 2200
0.146176339355 2250
0.170480461853 2300
0.179269328802  2315
>> -W1,black
0.179269328802  2315
0.191163976211  2375.40816824
>> -W1,black
0.487680543755  1471.01992002
0.489291403219 1500
0.492070656184 1550
0.49484990915 1600
0.497629162115 1650
0.50040841508 1700
0.503801575482 1750
0.508184970775 1800
0.512568366068 1850
0.516951761361 1900
0.518266779949  1915
>> -W1,black
0.494477485132  1472.91776026
0.49713423251 1500
0.502039194958 1550
0.506944157405 1600
0.511849119853 1650
0.5167540823 1700
0.519805111985 1750
0.519338950762 1800
0.518872789539 1850
0.518406628316 1900
0.518266779949  1915
>> -W1,black
0.086  1915
0.586  1915
>> -W1,black
0.115   2100
0.588  2100
>> -W1,black
0.179   2315
0.589  2315
>> -W1,black
0.612574341546  1732.56470894
0.586  1915
>> -W1,black
0.586  1915
0.588  2100
0.589634664401  2372.73593125
>> -W1,black
0.705182667799  1732.38775035
0.720475785896  2001.78527943
>> -W1,black
0.837723024639  1451.24276878
0.830926083263  1732.14747631
>> -W1,black,-
0.115   2100
0.105  2200
>> -W1,black,-
0.179   2315
0.169  2415
